Entity,Code,Date,Case fatality rate of COVID-19 (%) (Only observations with ≥100 cases) (%)
Afghanistan,AFG,"Mar 29, 2020",2.83
Afghanistan,AFG,"Mar 30, 2020",3.509
Afghanistan,AFG,"Mar 31, 2020",2.837
Afghanistan,AFG,"Apr 1, 2020",2.41
Afghanistan,AFG,"Apr 2, 2020",2.083
Afghanistan,AFG,"Apr 3, 2020",1.702
Afghanistan,AFG,"Apr 4, 2020",1.702
Afghanistan,AFG,"Apr 5, 2020",1.852
Afghanistan,AFG,"Apr 6, 2020",2.341
Afghanistan,AFG,"Apr 7, 2020",2.077
Afghanistan,AFG,"Apr 8, 2020",2.997
Afghanistan,AFG,"Apr 9, 2020",3.31
Afghanistan,AFG,"Apr 10, 2020",3.099
Afghanistan,AFG,"Apr 11, 2020",2.879
Afghanistan,AFG,"Apr 12, 2020",3.243
Afghanistan,AFG,"Apr 13, 2020",2.965
Afghanistan,AFG,"Apr 14, 2020",3.158
Afghanistan,AFG,"Apr 15, 2020",3.221
Afghanistan,AFG,"Apr 16, 2020",3.189
Afghanistan,AFG,"Apr 17, 2020",3.652
Afghanistan,AFG,"Apr 18, 2020",3.55
Afghanistan,AFG,"Apr 19, 2020",3.304
Afghanistan,AFG,"Apr 20, 2020",3.313
Afghanistan,AFG,"Apr 21, 2020",3.395
Afghanistan,AFG,"Apr 22, 2020",3.297
Afghanistan,AFG,"Apr 23, 2020",3.401
Afghanistan,AFG,"Apr 24, 2020",3.279
Afghanistan,AFG,"Apr 25, 2020",3.183
Afghanistan,AFG,"Apr 26, 2020",3.213
Afghanistan,AFG,"Apr 27, 2020",3.723
Afghanistan,AFG,"Apr 28, 2020",3.347
Afghanistan,AFG,"Apr 29, 2020",3.284
Afghanistan,AFG,"Apr 30, 2020",3.079
Afghanistan,AFG,"May 1, 2020",2.948
Afghanistan,AFG,"May 2, 2020",2.912
Afghanistan,AFG,"May 3, 2020",2.916
Afghanistan,AFG,"May 4, 2020",3.143
Afghanistan,AFG,"May 5, 2020",3.11
Afghanistan,AFG,"May 6, 2020",2.947
Afghanistan,AFG,"May 7, 2020",3.066
Afghanistan,AFG,"May 8, 2020",2.975
Afghanistan,AFG,"May 9, 2020",2.885
Afghanistan,AFG,"May 10, 2020",2.851
Afghanistan,AFG,"May 11, 2020",2.726
Afghanistan,AFG,"May 12, 2020",2.603
Afghanistan,AFG,"May 13, 2020",2.557
Afghanistan,AFG,"May 14, 2020",2.488
Afghanistan,AFG,"May 15, 2020",2.547
Afghanistan,AFG,"May 16, 2020",2.624
Afghanistan,AFG,"May 17, 2020",2.624
Africa,,"Mar 11, 2020",0.952
Africa,,"Mar 12, 2020",1.695
Africa,,"Mar 13, 2020",2.516
Africa,,"Mar 14, 2020",2.475
Africa,,"Mar 15, 2020",2.51
Africa,,"Mar 16, 2020",2.469
Africa,,"Mar 17, 2020",1.99
Africa,,"Mar 18, 2020",2.429
Africa,,"Mar 19, 2020",2.528
Africa,,"Mar 20, 2020",2.285
Africa,,"Mar 21, 2020",2.462
Africa,,"Mar 22, 2020",2.976
Africa,,"Mar 23, 2020",3.168
Africa,,"Mar 24, 2020",2.992
Africa,,"Mar 25, 2020",2.905
Africa,,"Mar 26, 2020",2.677
Africa,,"Mar 27, 2020",2.563
Africa,,"Mar 28, 2020",2.708
Africa,,"Mar 29, 2020",3.007
Africa,,"Mar 30, 2020",3.089
Africa,,"Mar 31, 2020",3.231
Africa,,"Apr 1, 2020",3.359
Africa,,"Apr 2, 2020",3.585
Africa,,"Apr 3, 2020",3.719
Africa,,"Apr 4, 2020",4.062
Africa,,"Apr 5, 2020",4.491
Africa,,"Apr 6, 2020",4.73
Africa,,"Apr 7, 2020",4.866
Africa,,"Apr 8, 2020",4.96
Africa,,"Apr 9, 2020",5.006
Africa,,"Apr 10, 2020",5.13
Africa,,"Apr 11, 2020",5.335
Africa,,"Apr 12, 2020",5.437
Africa,,"Apr 13, 2020",5.433
Africa,,"Apr 14, 2020",5.461
Africa,,"Apr 15, 2020",5.381
Africa,,"Apr 16, 2020",5.283
